Word,Polarity
radical,weakneg
fascist,strongneg
(too,strongneg
still,neutral
above,weakpos
mostly,neutral
friends,strongpos
need,neutral
so,neutral
cheat,strongneg
opinion,neutral
okay,strongpos
good,strongpos
look,neutral
ideas,neutral
So,neutral
Looks,neutral
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
intelligence,weakpos
stable,strongpos
genius,strongpos
just,strongpos
Though,neutral
might,neutral
believe,neutral
would,neutral
think,neutral
good,strongpos
need,neutral
certainly,neutral
even,weakpos
moves,neutral
agree,weakpos
trying,weakneg
want,strongpos
easily,strongpos
elevated,weakpos
chaos,strongneg
seems,neutral
great,weakpos
right,weakpos
nature,neutral
lifelong,weakpos
radical,weakneg
elite,strongpos
insane,strongneg
insults,strongneg
believe,neutral
wrong,strongneg
guarantee,weakpos
show,neutral
point,neutral
could,neutral
possibly,neutral
dying,strongneg
prefer,strongpos
understands,weakpos
moral,weakpos
conviction,weakpos
needs,neutral
attacking,strongneg
democratic,weakpos
attacking,strongneg
compromise,weakpos
compromise,weakpos
pressure,neutral
would,neutral
suicide,strongneg
explicitly,weakpos
criticize,strongneg
so,neutral
hard,strongneg
know,neutral
really,neutral
stand,weakpos
could,neutral
doubt,strongneg
right,weakpos
laugh,weakneg
hated,strongneg
corruption,strongneg
elite,strongpos
hate,strongneg
really,neutral
hate,strongneg
idea,neutral
problems,strongneg
So,neutral
just,strongpos
fresh,strongpos
ideas,neutral
need,weakneg
right,weakpos
honestly,strongpos
good,strongpos
good,strongpos
low,strongneg
right,weakpos
Ugh,weakneg
wish,weakpos
would,neutral
realistic,weakpos
rather,neutral
Just,strongpos
perfect,strongpos
understands,weakpos
better,strongpos
corrupt,strongneg
Else,neutral
lost,strongneg
cry,strongneg
lost,strongneg
cry,strongneg
fall,weakneg
Look,neutral
feel,neutral
sorry,strongneg
scars,strongneg
sorry,strongneg
think,neutral
think,neutral
thankfully,strongpos
fall,weakneg
shown,neutral
fall,weakneg
would,neutral
death,strongneg
acknowledged,weakpos
cruelty,strongneg
toll,strongneg
want,strongpos
honorable,strongpos
approval,weakpos
so,neutral
modern,weakpos
shows,neutral
declined,weakneg
active,weakpos
declined,weakneg
above,weakpos
reproach,strongneg
Still,neutral
sure,weakpos
accurate,strongpos
just,strongpos
important,weakpos
possibility,neutral
cut,weakneg
security,weakpos
supporting,strongpos
war,weakneg
worth,strongpos
contemplating,neutral
depress,weakneg
democratic,weakpos
demonizing,strongneg
deals,strongpos
admitted,weakpos
obstructing,strongneg
need,neutral
demand,both
allowed,weakpos
overwhelmingly,strongneg
support,strongpos
support,strongpos
likely,neutral
very,neutral
reason,strongpos
should,neutral
great,weakpos
proves,neutral
hate,strongneg
trial,strongneg
fact,neutral
COLLUSION,strongneg
supposed,strongneg
seemed,neutral
worry,strongneg
collusion,strongneg
wonder,strongpos
Democratic,weakpos
Exposes,weakneg
Refuses,strongneg
Exposes,weakneg
Refuses,strongneg
Views,neutral
Welcomed,weakpos
lies,strongneg
hopeful,strongpos
loses,strongneg
activist,neutral
Specifically,neutral
Unfortunate,strongneg
shown,neutral
lose,strongneg
defending,weakpos
blaming,strongneg
just,strongpos
high,neutral
crimes,strongneg
defense,weakpos
Still,neutral
defense,weakpos
know,neutral
would,neutral
fairly,weakpos
sure,weakpos
Yes,weakpos
try,weakneg
claiming,neutral
lie,strongneg
lie,strongneg
achieve,strongpos
full,neutral
lies,strongneg
Id,neutral
like,strongpos
lies,strongneg
deceit,strongneg
fake,strongneg
real,weakpos
fortune,strongpos
MUST,neutral
well,strongpos
fake,strongneg
pretty,weakpos
funny,strongpos
losers,strongneg
Yes,weakpos
try,weakneg
claiming,neutral
lie,strongneg
lie,strongneg
achieve,strongpos
full,neutral
lies,strongneg
Id,neutral
like,strongpos
lies,strongneg
deceit,strongneg
fake,strongneg
real,weakpos
fortune,strongpos
MUST,neutral
well,strongpos
fake,strongneg
pretty,weakpos
funny,strongpos
losers,strongneg
need,neutral
worried,strongneg
screwed,strongneg
so,neutral
just,strongpos
should,neutral
know,neutral
worse,strongneg
shallow,strongneg
corrupt,strongneg
dead,strongneg
democratic,weakpos
points,neutral
horrible,strongneg
looking,neutral
dumb,strongneg
demeaning,strongneg
correct,strongpos
guarantee,weakpos
correct,strongpos
want,strongpos
invalidated,strongneg
false,weakneg
support,strongpos
Tired,weakneg
love,strongpos
war,weakneg
should,neutral
exposed,weakneg
want,strongpos
mess,strongneg
just,strongpos
supporter,strongpos
just,strongpos
fall,weakneg
just,strongpos
dirty,strongneg
supporters,strongpos
would,neutral
just,strongpos
able,weakpos
screw,strongneg
best,weakpos
most,neutral
support,strongpos
mild,weakpos
seems,neutral
still,neutral
attacking,strongneg
losing,strongneg
Freaking,strongneg
lifelong,weakpos
looking,neutral
obvious,neutral
freedom,strongpos
right,weakpos
supports,strongpos
support,strongpos
Truly,strongpos
respectfully,strongpos
would,neutral
like,strongpos
right,weakpos
supporting,strongpos
know,neutral
too,strongneg
Would,neutral
better,strongpos
Sincere,weakpos
understand,weakpos
however,neutral
wonder,strongpos
wonderful,strongpos
progressive,weakpos
independent,strongpos
want,strongpos
aggressive,strongneg
know,neutral
pretty,weakpos
clearly,weakpos
still,neutral
extremely,weakneg
popular,weakpos
joke,weakpos
great,weakpos
great,weakpos
Democratic,weakpos
rival,weakneg
endorses,strongpos
ensure,weakpos
big,neutral
fact,neutral
entire,neutral
so,neutral
exceptional,strongpos
knowing,neutral
know,neutral
embarrassing,strongneg
Good,strongpos
Primary,neutral
block,weakneg
attacks,strongneg
So,neutral
So,neutral
still,neutral
protecting,strongpos
lifelong,weakpos
Thank,strongpos
Well,strongpos
disgusted,strongneg
lifelong,weakpos
Wow,weakpos
So,neutral
racists,strongneg
too,strongneg
Pathetic,strongneg
depraved,strongneg
wants,strongpos
worth,strongpos
looking,neutral
reason,strongpos
Thank,strongpos
too,strongneg
should,neutral
supporting,strongpos
so,neutral
much,neutral
hate,strongneg
Seriously,weakneg
should,neutral
look,neutral
corrupt,strongneg
stolen,strongneg
wasted,strongneg
stunt,weakneg
screaming,strongneg
lies,strongneg
dirty,strongneg
tricks,weakneg
need,neutral
empty,strongneg
promises,weakpos
yd,neutral
rather,neutral
fool,strongneg
forgetting,weakneg
tried,weakneg
really,neutral
hard,strongneg
sure,weakpos
primary,neutral
primary,neutral
Endorsement,strongpos
unequal,strongneg
right,weakpos
vile,strongneg
respect,strongpos
Especially,weakpos
against,weakneg
sadly,strongneg
true,strongpos
lifelong,weakpos
want,strongpos
too,strongneg
much,neutral
Obvious,neutral
hope,strongpos
against,weakneg
Truly,strongpos
just,strongpos
want,strongpos
power,neutral
shows,neutral
Democratic,weakpos
supporting,strongpos
Shows,neutral
Shows,neutral
Shows,neutral
supporting,strongpos
primary,neutral
Just,strongpos
curious,weakpos
supporting,strongpos
show,neutral
respect,strongpos
lifelong,weakpos
want,strongpos
free,strongpos
fair,strongpos
want,strongpos
just,strongpos
lost,strongneg
just,strongpos
admitted,weakpos
Show,neutral
try,weakneg
doubt,strongneg
know,neutral
fair,strongpos
trial,strongneg
democratic,weakpos
corrupt,strongneg
corrupt,strongneg
threatens,strongneg
guarantees,weakpos
Lifelong,weakpos
support,strongpos
support,strongpos
free,strongpos
fair,strongpos
deciding,neutral
best,weakpos
irate,strongneg
angry,strongneg
still,neutral
just,strongpos
Please,strongpos
know,neutral
agree,weakpos
must,neutral
supporting,strongpos
believe,neutral
best,weakpos
hope,strongpos
fundamental,neutral
positive,weakpos
Please,strongpos
consider,neutral
so,neutral
favorite,strongpos
right,weakpos
