tweet,sentiment
peteforamerica,Strong Positive
hand,Positive
them,Positive
fact,Positive
warren,Neutral
ami,Neutral
finish,Neutral
respect,Neutral
3rd,Neutral
iowa,Neutral
not,Neutral
7th,Neutral
as,Negative
never,Negative
capit,Negative
neither,Negative
deserv,Negative
honor,Negative
bestow,Negative
english,Negative
languag,Negative
form,Negative
proper,Negative
noun,Negative
priceless,Strong Negative
commi,Strong Negative
lose,Strong Negative
again,Strong Negative
woman,Strong Negative
could,Strong Negative
tell,Strong Negative
truth,Strong Negative
ok,Negative
dem,Negative
no,Negative
big,Negative
deal,Negative
own,Negative
crap,Negative
vote,Neutral
ny,Neutral
presidenti,Neutral
primari,Neutral
april,Neutral
28th,Neutral
you,Neutral
need,Neutral
regist,Neutral
parti,Neutral
or,Neutral
chang,Neutral
your,Neutral
affili,Neutral
friday,Neutral
februari,Neutral
14th,Neutral
nashvil,Neutral
flea,Neutral
market,Neutral
vendor,Neutral
associ,Neutral
race,Neutral
howev,Neutral
custom,Neutral
wow,Strong Negative
dozen,Strong Negative
baltimoron,Strong Negative
wont,Strong Negative
break,Strong Negative
news,Strong Negative
report,Strong Negative
baltimoresun,Strong Negative
how,Strong Negative
mani,Strong Negative
stori,Strong Negative
broken,Strong Negative
regard,Strong Negative
corrupt,Strong Negative
offici,Strong Negative
baltcityhal,Strong Negative
baltcityschool,Strong Negative
statemaryland,Strong Negative
zip,Strong Negative
zero,Strong Negative
nada,Strong Negative
thatsjump,Neutral
shark,Neutral
run,Neutral
0,Neutral
3,Neutral
thank,Strong Negative
move,Strong Negative
massachusett,Strong Negative
unfortun,Strong Negative
we,Strong Negative
embarass,Strong Negative
lizzi,Strong Negative
markey,Strong Negative
mind,Strong Negative
mcgovern,Strong Negative
god,Strong Negative
help,Strong Negative
us,Strong Negative
get,Strong Negative
into,Strong Negative
offic,Strong Negative
methink,Negative
ingrain,Negative
berni,Negative
cant,Negative
see,Negative
anyth,Negative
possibl,Negative
btw,Negative
amazingli,Negative
sander,Negative
gain,Negative
almost,Negative
thousand,Negative
black,Negative
hawk,Negative
counti,Negative
now,Negative
95,Negative
votecount,Negative
clustercluck,Negative
down,Negative
conspiraci,Negative
road,Negative
onli,Neutral
choic,Neutral
can,Neutral
hold,Neutral
off,Neutral
bit,Neutral
earli,Neutral
last,Neutral
time,Neutral
soooo,Positive
resign,Positive
from,Positive
dnc,Positive
then,Positive
hire,Positive
honorari,Positive
chair,Positive
buttigieg,Positive
campaign,Positive
patrick,N/A
io,N/A
ti,N/A
prego,N/A
invoco,N/A
inizia,N/A
fare,N/A
scherzi,N/A
fino,N/A
che,N/A
riman,N/A
fiato,N/A
tartassa,N/A
quella,N/A
casa,N/A
di,N/A
e,N/A
euforia,N/A
vacc,N/A
pesant,N/A
se,N/A
serv,N/A
fallo,N/A
per,N/A
noi,N/A
tutti,N/A
gfvip,N/A
lost,Negative
turnmeoninfourword,Negative
should,Negative
first,Negative
model,Negative
stupid,Negative
fellformel,Neutral
too,Neutral
told,Neutral
part,Neutral
nativ,Neutral
american,Neutral
mom,Neutral
law,Neutral
school,Neutral
applic,Neutral
had,Neutral
suffer,Neutral
injustic,Neutral
special,Neutral
treatment,Neutral
either,Neutral
tri,Neutral
game,Neutral
system,Neutral
heard,Strong Negative
voter,Strong Negative
enough,Strong Negative
ani,Strong Negative
pray,Strong Negative
befor,Strong Negative
destroy,Strong Negative
ye,Neutral
king,Neutral
way,Neutral
hard,Neutral
countri,Neutral
crazi,Neutral
elector,Neutral
colleg,Neutral
true,Neutral
democraci,Neutral
win,Neutral
would,Neutral
definit,Neutral
moderatei,Neutral
person,Neutral
resembl,Neutral
popular,Neutral
presid,Neutral
jfkclinton,Neutral
youngsmart,Neutral
moder,Neutral
combin,Neutral
grade,Neutral
r,Neutral
7,Neutral
secondaryhigh,Neutral
8,Neutral
12,Neutral
understand,Neutral
sir,Neutral
mistak,Neutral
there,Neutral
rectifi,Neutral
mayb,Neutral
ladi,Neutral
meant,Neutral
8just,Neutral
admit,Neutral
serious,Negative
okay,Negative
total,Negative
believ,Negative
clarifi,Neutral
base,Neutral
comment,Neutral
rep,Neutral
jayap,Neutral
m4a,Neutral
bill,Neutral
outofpocket,Neutral
cost,Neutral
sen,Neutral
sanderss,Neutral
oop,Neutral
except,Neutral
maximum,Neutral
200person,Neutral
prescript,Neutral
drug,Neutral
both,Neutral
elimin,Neutral
prefer,Neutral
more,Strong Negative
evid,Strong Negative
damn,Strong Negative
doesnt,Strong Negative
belong,Strong Negative
jail,Strong Negative
alon,Strong Negative
addit,Neutral
guess,Neutral
jon,Neutral
percentag,Neutral
choos,Neutral
option,Neutral
look,Neutral
lot,Neutral
hassl,Neutral
than,Neutral
actual,Neutral
attend,Neutral
she,Positive
isnt,Positive
until,Positive
may,Positive
tulsi,Negative
gabbard,Negative
2020,Negative
elect,Negative
partisan,Negative
inde,Negative
read,Negative
left,Negative
right,Negative
vice,Negative
versa,Negative
rise,Negative
place,Negative
fallen,Negative
two,Negative
know,Neutral
whi,Neutral
media,Neutral
toast,Neutral
escal,Neutral
bloom,Neutral
suppress,Neutral
certainli,Negative
use,Negative
other,Negative
preserv,Negative
best,Negative
thing,Negative
world,Negative
logic,Negative
rather,Negative
faulti,Negative
sweetheart,Negative
feel,Neutral
fear,Neutral
burningb,Neutral
these,Neutral
traitor,Neutral
leader,Neutral
togeth,Neutral
ex,Neutral
lead,Neutral
mass,Neutral
demonstr,Neutral
resist,Neutral
wanna,Neutral
touch,Neutral
stop,Neutral
tweet,Neutral
start,Neutral
text,Neutral
who,Negative
billionair,Negative
lane,Negative
aint,Negative
wide,Negative
steyer,Negative
drop,Negative
throw,Negative
behind,Negative
spend,Negative
senat,Negative
die,Negative
against,Negative
30yr,Neutral
ago,Neutral
still,Neutral
make,Neutral
perfect,Neutral
draw,Neutral
lucki,Neutral
riderth,Neutral
st,Neutral
version,Neutral
overtak,Neutral
elizabeth,Neutral
man,Neutral
favorit,Neutral
candid,Neutral
larg,Neutral
margin,Neutral
coin,Neutral
freeif,Neutral
dema,Neutral
lmao,Strong Negative
knew,Strong Negative
potu,Strong Negative
claim,Strong Negative
ukrain,Strong Negative
call,Strong Negative
rig,Strong Negative
kill,Strong Negative
terroristsiran,Strong Negative
war,Strong Negative
fake,Strong Negative
impeach,Strong Negative
scam,Strong Negative
excus,Strong Negative
wouldnt,Neutral
nomine,Neutral
wonder,Neutral
theyd,Neutral
pre,Neutral
doubt,Neutral
been,Neutral
better,Neutral
hrc,Neutral
hate,Strong Negative
dccc,Strong Negative
exist,Strong Negative
which,Strong Negative
happen,Strong Negative
aoc,Strong Negative
boot,Strong Negative
least,Strong Negative
deni,Strong Negative
resourc,Strong Negative
refus,Strong Negative
requir,Strong Negative
due,Strong Negative
ano,Neutral
yang,Neutral
censor,Neutral
count,Neutral
major,Neutral
thought,Neutral
classic,Neutral
play,Neutral
everi,Neutral
few,Neutral
year,Neutral
ton,Neutral
ndsu,Neutral
alum,Neutral
citi,Neutral
mn,Neutral
kid,Neutral
roster,Neutral
girl,Neutral
pic,Neutral
post,Neutral
wild,Neutral
sex,Neutral
said,Neutral
pod,Neutral
fit,Neutral
here,Neutral
anderson,Neutral
ginn,Neutral
couldv,Neutral
y,Neutral
stretch,Neutral
thoug,Neutral
deep,Neutral
speed,Neutral
wasnt,Neutral
heck,Neutral
harri,Neutral
nobodi,Neutral
ball,Neutral
am,Neutral
tire,Neutral
judgment,Neutral
leftist,Neutral
socialist,Neutral
marxist,Neutral
freedom,Neutral
speech,Neutral
keep,Neutral
louder,Neutral
lie,Neutral
hot,Neutral
dog,Neutral
omg,Neutral
soup,Neutral
over,Neutral
when,Neutral
live,Neutral
coast,Neutral
egg,Neutral
dairi,Neutral
honey,Neutral
eat,Neutral
deer,Neutral
friend,Neutral
came,Neutral
hous,Neutral
huntimut,Neutral
her,Neutral
long,Neutral
agosh,Neutral
convo,Neutral
wit,Positive
hunter,Positive
whistleblow,Positive
1,Positive
2,Positive
adam,Positive
schiff,Positive
etc,Positive
bring,Positive
think,Positive
necessari,Positive
blow,Positive
22,Negative
an,Negative
account,Negative
crusad,Negative
muslim,Negative
surpris,Negative
backward,Negative
european,Negative
unhygien,Negative
life,Negative
allhow,Negative
complet,Negative
lack,Negative
ghairah,Negative
protect,Negative
jealousi,Negative
women,Negative
even,Negative
cuck,Negative
googl,Negative
spine,Strong Negative
votingforberni,Strong Negative
fuckthednc,Strong Negative
love,Neutral
diplomat,Negative
himself,Negative
appoint,Negative
polici,Negative
blast,Negative
self,Negative
credibl,Negative
instrument,Negative
bipartisan,Negative
intern,Negative
anticorrupt,Negative
such,Negative
anathema,Negative
room,Neutral
consid,Strong Negative
ryuu,Strong Negative
cu,Strong Negative
ssr,Strong Negative
card,Strong Negative
white,Strong Negative
buy,Strong Negative
new,Strong Negative
ryu,Strong Negative
wig,Strong Negative
qq,Strong Negative
shoot,Strong Negative
heheh,Strong Negative
bout,Neutral
relev,Neutral
pathet,Neutral
happili,Neutral
trade,Neutral
john,Neutral
bolton,Neutral
anytim,Neutral
proof,Neutral
heresay,Neutral
contradict,Neutral
video,Neutral
gonna,Strong Negative
b,Strong Negative
million,Strong Negative
ppl,Strong Negative
waitng,Strong Negative
cold,Strong Negative
rt,Strong Negative
donald,Strong Negative
nvr,Strong Negative
act,Strong Negative
everythng,Strong Negative
clean,Strong Negative
2019,Neutral
zelenski,Neutral
announc,Neutral
candidaci,Neutral
month,Neutral
uncertainti,Neutral
decis,Neutral
leasthunt,Neutral
board,Neutral
burisma,Neutral
pretti,Positive
sure,Positive
front,Positive
runner,Positive
son,Positive
mean,Negative
giuliani,Negative
buddi,Negative
yovanovitch,Negative
fire,Negative
ukraineturkey,Negative
unimped,Negative
imagin,Negative
investig,Negative
idea,Negative
bright,Negative
threw,Negative
leverag,Negative
aspect,Negative
eric,Strong Negative
hammer,Neutral
sickl,Neutral
symbol,Neutral
uniti,Neutral
peasantri,Neutral
work,Neutral
class,Neutral
social,Neutral
revision,Neutral
drive,Neutral
nut,Neutral
defin,Neutral
movement,Neutral
k,Neutral
seem,Neutral
hurt,Neutral
pander,Strong Negative
distract,Strong Negative
stuff,Strong Negative
alien,Strong Negative
portion,Strong Negative
bad,Strong Negative
advic,Strong Negative
hope,Strong Negative
tack,Strong Negative
faith,Strong Negative
boy,Negative
daddi,Negative
spoil,Negative
iron,Negative
uniform,Negative
wash,Negative
dish,Negative
cloth,Negative
sunday,Negative
line,Negative
stiff,Negative
ine,Negative
children,Negative
jack,Negative
yall,Negative
gin,Negative
cannot,Neutral
wait,Neutral
translat,Strong Negative
rascist,Strong Negative
aboard,Neutral
divid,Neutral
peopleit,Neutral
platform,Neutral
goal,Neutral
communist,Neutral
50,Neutral
plan,Neutral
power,Neutral
amaz,Neutral
cpusa,Neutral
60,Neutral
glass,Strong Negative
rid,Strong Negative
ridicul,Strong Negative
antiqu,Strong Negative
name,Neutral
reach,Neutral
side,Neutral
ryan,Neutral
continu,Neutral
momentum,Neutral
stage,Neutral
massiv,Neutral
comeback,Neutral
stronger,Neutral
unit,Neutral
progress,Neutral
alway,Neutral
genuin,Neutral
commit,Neutral
solidar,Neutral
citizensmediatvtwittercom,Negative
reliabl,Negative
pollster,Negative
veri,Negative
difficult,Negative
cheat,Negative
19,Negative
point,Negative
merci,Negative
push,Negative
whether,Negative
thetimeisnow,Negative
terrif,Negative
highlight,Negative
incompet,Negative
id,Positive
rememb,Positive
entir,Positive
polit,Positive
spectrum,Positive
shift,Positive
occupi,Positive
same,Positive
ideolog,Positive
space,Positive
uk,Positive
centerist,Positive
isaiah,Neutral
thoma,Neutral
ai,Neutral
kawhi,Neutral
leonard,Neutral
karl,Neutral
malon,Neutral
ewe,Neutral
demcommi,Strong Negative
nit,Strong Negative
pick,Strong Negative
littl,Strong Negative
abl,Strong Negative
standardsnot,Strong Negative
breath,Strong Negative
cough,Strong Negative
without,Strong Negative
bitch,Strong Negative
threaten,Strong Negative
fair,Positive
partli,Positive
sharp,Positive
fault,Positive
good,Positive
ethic,Neutral
within,Neutral
confin,Neutral
whip,Neutral
nae,Neutral
murray,Neutral
franklin,Neutral
perform,Strong Negative
research,Strong Negative
queri,Strong Negative
russia,Strong Negative
agre,Strong Negative
semi,Strong Negative
nude,Strong Negative
statement,Strong Negative
georg,Strong Negative
wallac,Strong Negative
1970,Strong Negative
releas,Strong Negative
medic,Strong Negative
follow,Strong Negative
heart,Strong Negative
attack,Strong Negative
huh,Strong Negative
spot,Neutral
tv,Neutral
howeverth,Negative
screw,Negative
ummmi,Neutral
pretend,Neutral
respond,Neutral
andit,Neutral
word,Neutral
chutzpah,Neutral
career,Negative
hardballchri,Neutral
maddow,Neutral
stevekornacki,Neutral
natesilver538,Neutral
week,Neutral
between,Neutral
allow,Neutral
digest,Neutral
previou,Neutral
result,Neutral
ask,Neutral
question,Neutral
iowacauscu,Neutral
newhampshireprimari,Neutral
kickoff,Neutral
smaller,Positive
earlier,Positive
caucus,Positive
unabl,Positive
variou,Positive
process,Positive
outdat,Positive
replac,Positive
w,Positive
middl,Neutral
podium,Neutral
joenbc,Negative
thelastword,Negative
chrislhay,Negative
held,Negative
nose,Negative
nomin,Negative
mondal,Negative
dukaki,Negative
kerri,Negative
humphrey,Negative
hart,Negative
dean,Negative
mccarthi,Negative
obvious,Negative
politician,Negative
perhap,Negative
learn,Negative
lesson,Negative
smerconish,Strong Negative
final,Strong Negative
fascist,Strong Negative
turn,Strong Negative
republican,Strong Negative
independ,Strong Negative
ind,Strong Negative
centuri,Strong Negative
cornel,Neutral
west,Neutral
nina,Neutral
turner,Neutral
advoc,Neutral
repar,Neutral
committe,Neutral
determin,Neutral
appropri,Neutral
instead,Neutral
blank,Neutral
racism,Neutral
mlk,Neutral
hippi,Negative
coas,Neutral
theorem,Neutral
real,Neutral
appar,Negative
gal,Negative
give,Negative
respons,Negative
sequest,Negative
dure,Negative
sotu2020,Negative
debat,Negative
slur,Negative
struggl,Negative
speak,Negative
clearli,Negative
forc,Negative
joebiden,Negative
goe,Positive
depend,Positive
old,Negative
pipe,Negative
piper,Negative
promis,Negative
free,Negative
stick,Neutral
principl,Neutral
bulli,Neutral
dismay,Neutral
sheopl,Neutral
gop,Neutral
fall,Neutral
gener,Neutral
bluenomatterwho,Neutral
takebackthesen,Neutral
amyklobuchar,Strong Negative
sorri,Strong Negative
reprehens,Strong Negative
lifelong,Strong Negative
origin,Strong Negative
kansa,Strong Negative
embodi,Strong Negative
midwest,Strong Negative
valu,Strong Negative
shame,Strong Negative
kamila,Neutral
fantast,Neutral
bicker,Neutral
among,Neutral
themselv,Neutral
stand,Neutral
won,Neutral
sound,Neutral
lp,Neutral
skip,Neutral
everywher,Neutral
nowher,Neutral
usual,Neutral
felt,Neutral
uncomfort,Neutral
bloomi,Neutral
toss,Neutral
helicopt,Neutral
mike,Neutral
bigger,Neutral
tini,Neutral
small,Neutral
invest,Neutral
futur,Neutral
stock,Neutral
juss,Neutral
tesla,Neutral
mek,Neutral
link,Neutral
wid,Neutral
appeal,Neutral
widespread,Neutral
written,Neutral
yet,Neutral
plu,Neutral
myself,Neutral
relax,Neutral
wed,Neutral
probabl,Neutral
safe,Neutral
votebluenomatterwho,Neutral
votebluenomatterwho2020,Neutral
bryson,Negative
dechambeau,Negative
reed,Negative
golf,Negative
fan,Negative
worst,Negative
nightmar,Negative
kevin,Negative
nah,Negative
slide,Negative
watch,Negative
tomorrow,Negative
accus,Negative
rest,Negative
commun,Negative
silent,Negative
pictwittercomt9iforvbct,Negative
top,Negative
desper,Negative
disast,Negative
zoo,Neutral
nevada,Neutral
moron,Neutral
bloomburg,Neutral
champion,Neutral
slightli,Neutral
humor,Neutral
design,Neutral
oil,Neutral
field,Neutral
hampshir,Neutral
23,Neutral
percent,Neutral
former,Neutral
south,Neutral
bend,Neutral
indiana,Neutral
mayor,Neutral
18,Neutral
14,Neutral
underr,Neutral
scenario,Neutral
roll,Neutral
hed,Neutral
unstopp,Neutral
deleg,Neutral
someth,Neutral
hotlinejosh,Neutral
contempl,Neutral
analysi,Neutral
target,Neutral
davidsirota,Neutral
content,Neutral
past,Neutral
must,Neutral
haunt,Neutral
earth,Neutral
fervent,Neutral
awar,Neutral
ill,Positive
berniesand,Positive
stellar,Neutral
night,Neutral
100,Neutral
labor,Neutral
union,Neutral
member,Neutral
pictwittercomr8wsuu6oyw,Neutral
2016,Positive
overperform,Positive
poll,Positive
california,Positive
theyoungturk,Positive
tytliv,Positive
absurd,Neutral
excit,Neutral
minor,Neutral
1992,Neutral
consult,Neutral
advis,Neutral
nation,Neutral
rank,Neutral
nj,Neutral
vermont,Neutral
4,Neutral
5,Neutral
connecticut,Neutral
6,Neutral
maryland,Neutral
wyom,Neutral
pennsylvania,Neutral
9,Neutral
york,Neutral
10,Neutral
minnesota,Neutral
democratfarm,Neutral
anni,Neutral
kuster,Neutral
spox,Neutral
cnn,Neutral
travel,Neutral
headlin,Neutral
event,Neutral
concord,Neutral
nh,Neutral
signific,Neutral
quit,Negative
gave,Negative
clinton,Negative
giggl,Negative
through,Negative
journalist,Negative
foot,Negative
plausibl,Neutral
boost,Neutral
super,Neutral
tuesday,Neutral
state,Neutral
anymor,Neutral
watchnew,Neutral
return,Neutral
fitn,Neutral
124,Neutral
saturday,Neutral
125,Neutral
detail,Neutral
forthcom,Neutral
nhpolit,Neutral
mapolipictwittercomyesowrn4jc,Neutral
annnnd,Positive
latest,Positive
tie,Positive
moot,Negative
yourself,Negative
whing,Negative
none,Negative
caravan,Negative
full,Negative
illeg,Negative
problem,Negative
fix,Negative
mexico,Negative
forget,Negative
three,Negative
monstros,Negative
rock,Negative
piti,Neutral
normal,Neutral
lean,Neutral
toward,Neutral
nom,Neutral
troll,Neutral
delight,Neutral
handl,Neutral
also,Neutral
legup,Neutral
dotard,Neutral
novemb,Neutral
havent,Neutral
calcul,Neutral
align,Neutral
eyebal,Neutral
maintain,Neutral
governor,Neutral
virginia,Neutral
fuck,Strong Negative
marri,Strong Negative
reagancheney,Strong Negative
counselor,Strong Negative
hang,Strong Negative
david,Strong Negative
brock,Strong Negative
mari,Strong Negative
pat,Strong Negative
bonner,Strong Negative
prospect,Strong Negative
absolut,Strong Negative
slime,Strong Negative
kept,Strong Negative
compani,Strong Negative
decad,Strong Negative
cynic,Strong Negative
exampl,Strong Negative
pass,Strong Negative
readi,Neutral
implod,Strong Negative
terribl,Negative
guard,Negative
slam,Negative
dunk,Negative
bet,Negative
taker,Negative
footag,Negative
set,Negative
gym,Negative
anxieti,Negative
phi,Negative
ed,Negative
beauti,Negative
arimelb,Strong Negative
batter,Strong Negative
manag,Strong Negative
disappoint,Strong Negative
segment,Strong Negative
msnbc,Strong Negative
harshli,Strong Negative
tarnish,Strong Negative
treat,Strong Negative
digniti,Strong Negative
answer,Strong Negative
fought,Neutral
undemocrat,Neutral
boo,Neutral
hoo,Neutral
icegov,Strong Negative
shipment,Neutral
hat,Neutral
fail,Neutral
arriv,Neutral
sotu,Neutral
ship,Neutral
obsess,Negative
boyfriend,Negative
bakarisel,Negative
kirstenpow,Negative
andersoncoop,Negative
jengranholm,Negative
save,Negative
idiot,Negative
mate,Negative
smarter,Negative
kloduchar,Negative
ive,Neutral
second,Neutral
engag,Neutral
civic,Neutral
pitch,Negative
racist,Negative
dodg,Negative
brag,Negative
sexual,Negative
assault,Negative
apolog,Negative
weird,Negative
rant,Negative
rais,Neutral
hell,Neutral
legisl,Neutral
unrealist,Strong Negative
inneffectivemi,Strong Negative
bidenwarren,Strong Negative
ag,Strong Negative
decenc,Strong Negative
dump,Strong Negative
cult,Strong Negative
cowardli,Strong Negative
educ,Strong Negative
teaparti,Strong Negative
aarp,Strong Negative
veteran,Strong Negative
metoo,Strong Negative
genx,Strong Negative
milleni,Strong Negative
marchforourl,Strong Negative
indigen,Strong Negative
p2,Strong Negative
latino,Strong Negative
blm,Strong Negative
clearest,Strong Negative
broadest,Strong Negative
declar,Strong Negative
culturalraci,Strong Negative
wrong,Strong Negative
oh,Negative
pleas,Negative
10000,Negative
end,Negative
especi,Negative
sentenc,Negative
liberalleft,Negative
judg,Negative
current,Negative
presidenta,Negative
known,Negative
dc,Negative
beltway,Negative
outsid,Negative
conserv,Negative
repulican,Negative
reveng,Strong Negative
benefit,Strong Negative
dear,Strong Negative
sick,Strong Negative
unitybidenwarren,Neutral
klobuchar,Neutral
hs,Neutral
castro,Neutral
dhh,Neutral
1u,Neutral
latinx,Neutral
lgbtq,Neutral
mostli,Neutral
depress,Neutral
bloombergbiden,Neutral
young,Neutral
wish,Neutral
inspir,Neutral
realdonaldtrump,Neutral
pardon,Neutral
governorrod,Neutral
blagojevich,Neutral
quid,Neutral
pro,Neutral
quo,Neutral
confid,Negative
human,Negative
smoke,Negative
got,Negative
disinform,Negative
hellsit,Strong Negative
float,Strong Negative
walk,Strong Negative
lake,Strong Negative
casual,Strong Negative
mention,Strong Negative
singl,Strong Negative
basic,Strong Negative
hey,Positive
cool,Positive
buck,Neutral
corps,Negative
wife,Negative
pull,Negative
annoy,Negative
bro,Negative
blue,Negative
maga,Negative
minu,Negative
fals,Negative
info,Negative
equal,Negative
passion,Negative
filthi,Strong Negative
differ,Neutral
begin,Neutral
dan,Neutral
bradi,Neutral
oppon,Neutral
paul,Neutral
blumenshin,Neutral
pictwittercomtqdpj1puvv,Neutral
pledg,Neutral
whoever,Neutral
sad,Neutral
bunch,Neutral
hasnt,Neutral
eventu,Negative
weak,Negative
defeat,Negative
radio,Neutral
wasi,Neutral
turnout,Neutral
disgust,Neutral
capitalist,Strong Negative
concern,Strong Negative
everyth,Strong Negative
though,Strong Negative
extrem,Strong Negative
view,Negative
hank,Negative
hill,Negative
voic,Negative
hit,Strong Negative
flaw,Strong Negative
coordin,Strong Negative
yeah,Strong Negative
expect,Strong Negative
burn,Strong Negative
itself,Strong Negative
revolut,Strong Negative
exce,Positive
far,Positive
neg,Positive
laugh,Positive
babi,Neutral
bw,Neutral
nyer,Neutral
term,Neutral
snub,Neutral
climat,Neutral
protestor,Neutral
scream,Neutral
yell,Neutral
talk,Neutral
spit,Strong Negative
tho,Strong Negative
iowacauca,Strong Negative
trial,Strong Negative
divis,Strong Negative
bigotri,Strong Negative
crime,Strong Negative
suck,Strong Negative
find,Strong Negative
whole,Strong Negative
honesti,Strong Negative
eye,Strong Negative
russian,Strong Negative
ninaturn,Strong Negative
onc,Strong Negative
corpor,Strong Negative
mother,Strong Negative
fcker,Strong Negative
spite,Strong Negative
bernietulsi,Strong Negative
bust,Strong Negative
peac,Strong Negative
limit,Positive
recognit,Positive
seembut,Positive
admittedli,Positive
flatter,Positive
pictwittercomppt8uawjtd,Positive
mikebloomberg,Strong Negative
receiv,Strong Negative
command,Strong Negative
outlaw,Strong Negative
poor,Strong Negative
dunc,Strong Negative
vladimir,Strong Negative
putin,Strong Negative
while,Strong Negative
lenin,Strong Negative
marx,Strong Negative
bloombergfact,Strong Negative
bloomberginnovationindex,Strong Negative
mikebloomberg2020pictwittercomrbhp2ncknz,Strong Negative
croni,Strong Negative
wealthier,Strong Negative
emerg,Strong Negative
access,Strong Negative
chanc,Neutral
forrest,Neutral
tree,Neutral
seriou,Neutral
cash,Neutral
pevert,Neutral
parcel,Neutral
specif,Neutral
ukrainefinalpiec,Strong Negative
kust,Strong Negative
glen,Strong Negative
beck,Strong Negative
thoroughli,Strong Negative
explain,Strong Negative
resum,Negative
embarrass,Negative
sacrif,Negative
doom,Negative
mission,Negative
delusion,Negative
liar,Negative
leav,Negative
wth,Strong Negative
16,Neutral
binari,Neutral
42,Neutral
fabio,Neutral
testi,Neutral
hhahahahhahahahhah,Neutral
hear,Negative
pin,Negative
exposur,Negative
whatev,Strong Negative
u,Strong Negative
petti,Strong Negative
crook,Strong Negative
narcissist,Strong Negative
hide,Strong Negative
joke,Strong Negative
victor,Strong Negative
write,Strong Negative
histori,Strong Negative
theyll,Strong Negative
crucifi,Strong Negative
distanc,Strong Negative
blame,Strong Negative
wind,Neutral
fortun,Neutral
sanderswilliamsonklobucharyanggabbard,Strong Negative
ticket,Strong Negative
polycul,Strong Negative
moment,Neutral
drew,Neutral
drake,Neutral
diner,Neutral
strategist,Neutral
comic,Neutral
book,Neutral
store,Neutral
inevit,Neutral
fledgl,Neutral
simultan,Neutral
ohio,Neutral
idaho,Neutral
skew,Neutral
onlin,Neutral
correct,Neutral
taken,Neutral
appear,Neutral
repres,Neutral
trimest,Negative
abort,Negative
greatli,Negative
inform,Negative
theyv,Neutral
straight,Neutral
sinc,Neutral
harder,Neutral
ap,Neutral
project,Neutral
unalloy,Neutral
posit,Neutral
constitu,Negative
area,Negative
arcan,Negative
decid,Negative
narrow,Negative
local,Negative
whihc,Negative
sometim,Negative
round,Negative
rob,Strong Negative
hillari,Strong Negative
often,Strong Negative
99,Positive
transform,Positive
societi,Positive
trend,Neutral
commerci,Neutral
franchiz,Neutral
boyz,Neutral
huge,Neutral
sum,Neutral
pac,Neutral
couldnt,Neutral
contain,Neutral
stay,Positive
fight,Positive
district,Positive
red,Positive
shocker,Negative
amazon,Negative
paper,Negative
gotta,Positive
josh,Positive
outta,Positive
beignet,Positive
